NumClients,ClientID,T_KeyGen_MKCKKS_ms,T_KeyGen_ECDH_ms,T_KeyGen_Total_ms,T_Encrypt_ms,T_PartialDec_ms,T_MaskGen_ms,T_ClientTotal_ms
100,21,8.85218,0.815863,9.66804,18.5183,5.10899,322.296,345.924
100,22,8.93331,0.856666,9.78998,16.4901,5.11258,356.186,377.789
100,23,8.87569,0.789261,9.66495,15.4722,4.74869,352.07,372.291
100,24,8.82548,0.802658,9.62814,15.191,4.75193,300.383,320.326
100,25,9.05781,0.823654,9.88147,15.0996,4.81612,304.542,324.458
100,26,8.84044,0.806999,9.64744,15.8267,4.77202,347.45,368.048
100,27,8.94887,0.817556,9.76643,16.1301,5.08671,303.985,325.202
100,28,8.92131,0.825477,9.74678,16.3592,5.32795,315.146,336.833
100,29,8.92918,0.856505,9.78569,16.3278,5.01577,319.294,340.637
100,30,8.78696,0.786346,9.5733,16.9138,5.09811,312.693,334.705
100,31,8.66027,0.795874,9.45614,16.1747,5.21124,332.053,353.439
100,32,9.01684,0.795745,9.81258,15.3078,4.66226,344.591,364.561
100,33,8.93492,0.781051,9.71597,15.5605,4.68033,373.495,393.736
100,34,8.92976,0.806259,9.73602,16.4876,4.65339,324.364,345.505
100,35,8.71321,0.796409,9.50962,17.7043,4.76663,299.444,321.915
100,36,8.74551,0.781372,9.52688,15.4773,4.71594,293.5,313.693
100,37,8.78097,0.790193,9.57116,15.274,4.75868,333.796,353.828
100,38,8.72613,0.779528,9.50566,16.2054,5.1282,333.216,354.55
100,39,8.81853,0.831533,9.65007,15.3743,4.75067,305.7,325.825
100,40,8.90521,0.814008,9.71922,16.2238,5.10538,328.177,349.507
100,41,8.83057,0.784448,9.61502,16.0622,4.93234,307.116,328.111
100,42,8.88461,0.81478,9.69939,15.755,5.07095,315.326,336.152
100,43,8.88536,0.796345,9.6817,16.0318,5.30732,308.991,330.33
100,44,8.1699,0.808843,8.97875,15.2298,4.63767,308.49,328.357
100,45,8.45623,0.777181,9.23341,15.7519,4.67432,308.311,328.738
100,46,8.55522,0.764877,9.3201,15.4742,4.70118,321.339,341.515
100,47,8.50604,0.802369,9.30841,15.2685,4.8326,297.072,317.173
100,48,8.50073,0.812583,9.31332,17.0088,4.90194,313.018,334.929
100,49,8.60321,0.809014,9.41222,16.1773,4.99787,311.439,332.614
100,50,8.6534,0.865133,9.51853,14.7226,4.57458,282.803,302.1
100,51,8.73403,0.794288,9.52832,15.0078,4.69362,347.841,367.542
100,52,10.3968,0.857545,11.2544,17.6134,4.57211,379.143,401.329
100,53,8.59721,0.799357,9.39656,15.8543,4.91362,308.338,329.106
100,54,8.72015,0.807727,9.52788,15.9709,4.85069,314.093,334.914
100,55,8.76347,0.800493,9.56397,16.2481,4.78586,304.97,326.004
100,56,8.85375,0.852057,9.70581,16.9175,4.57649,285.768,307.261
100,57,9.15239,0.890867,10.0433,15.3387,4.64827,-2119.27,-2099.28
100,58,9.12914,1.15067,10.2798,16.0534,5.00833,292.69,313.752
100,59,10.0019,0.79148,10.7934,15.9576,4.92656,315.649,336.533
100,60,9.02818,0.87793,9.90611,15.9355,4.84999,306.636,327.422
100,61,9.58267,0.815658,10.3983,16.1976,4.98516,328.32,349.503
100,62,9.38172,0.853172,10.2349,15.8077,4.79487,303.796,324.399
100,63,9.04616,0.850321,9.89648,16.1349,5.05172,342.2,363.386
100,64,9.04533,0.827213,9.87254,16.0236,4.54013,364.739,385.302
100,65,8.87435,0.838295,9.71265,18.4399,4.93923,350.33,373.709
100,66,10.381,1.14154,11.5226,18.3259,4.8884,359.508,382.722
100,67,8.87953,0.843323,9.72285,16.7797,5.08575,302.76,324.626
100,68,8.73634,0.800493,9.53683,14.9359,4.4969,376.767,396.2
100,69,8.93724,0.839142,9.77638,17.3914,4.6189,306.452,328.462
100,70,8.13304,0.76253,8.89557,14.8949,4.85235,289.595,309.342
100,71,8.15452,0.767674,8.9222,15.2187,4.67776,349.729,369.626
100,72,8.24596,0.763774,9.00973,18.0284,4.85807,290.157,313.043
100,73,8.49845,0.798789,9.29724,15.0684,4.56683,295.057,314.692
100,74,9.03333,0.954982,9.98831,15.6963,4.81968,297.728,318.244
100,75,8.788,0.795038,9.58304,15.0243,4.55289,292.14,311.717
100,76,8.35155,0.802872,9.15442,15.0641,4.6909,283.566,303.321
100,77,8.50445,0.770954,9.27541,15.5091,4.65735,346.1,366.267
100,78,8.60442,0.987103,9.59152,15.9766,4.96752,333.538,354.482
100,79,8.42408,0.796002,9.22008,17.9945,4.80999,338.797,361.602
100,80,8.45709,0.788735,9.24583,15.8771,4.83383,306.051,326.761
100,81,8.54601,0.764866,9.31087,18.3272,5.25235,375.682,399.262
100,82,8.32062,0.80359,9.12421,15.7337,5.02467,352.489,373.248
100,83,8.56821,0.773345,9.34156,19.3132,4.88263,310.984,335.18
100,84,8.84412,0.8221,9.66622,15.9776,4.93223,331.26,352.17
100,85,9.1423,0.765295,9.9076,18.1559,4.95279,306.929,330.038
100,86,9.51798,0.777021,10.295,16.0865,4.91584,324.478,345.48
100,87,9.45127,0.75715,10.2084,15.1533,4.60187,392.715,412.47
100,88,9.15632,0.782283,9.9386,16.2634,5.08874,309.115,330.468
100,89,9.19359,0.797525,9.99111,15.9239,4.90388,311.963,332.791
100,90,9.46875,1.07408,10.5428,15.4876,5.64701,373.689,394.824
100,91,9.38309,0.793559,10.1767,17.2264,4.92772,291.154,313.308
100,92,11.0585,0.759326,11.8178,17.385,4.70085,291.15,313.235
100,93,9.89628,0.830729,10.727,15.3369,4.76015,328.908,349.005
100,94,9.98619,0.821018,10.8072,16.0754,4.89689,307.679,328.651
100,95,10.3843,0.834501,11.2188,16.0698,5.10592,307.982,329.158
100,96,10.6535,0.881006,11.5345,15.219,4.65468,316.604,336.477
100,97,10.1466,0.833269,10.9798,15.0234,4.85972,306.366,326.249
100,98,10.1559,0.864865,11.0208,16.1453,5.18761,378.098,399.431
100,99,10.0909,0.828542,10.9194,18.5422,5.15954,305.084,328.786
