NumClients,DataSize,RingDimension,ClientID,T_KeyGen_MKCKKS_ms,T_KeyGen_ECDH_ms,T_KeyGen_Total_ms,T_Encrypt_ms,T_PartialDec_ms,T_MaskGen_ms,T_ClientTotal_ms
200,65536,131072,12,63.7542,0.720672,64.4749,121.37,34.8695,2606.47,2762.71
200,65536,131072,13,65.4072,0.736341,66.1436,117.476,36.1277,2594.5,2748.1
200,65536,131072,14,64.5971,0.736,65.3331,117.713,34.6386,2580.65,2733
200,65536,131072,15,64.544,0.763579,65.3075,116.229,34.1461,2626.35,2776.72
200,65536,131072,16,64.7323,0.726848,65.4591,121.164,34.8779,2599.12,2755.16
200,65536,131072,17,64.5535,0.716831,65.2703,117.219,35.43,2600.04,2752.69
200,65536,131072,18,64.6501,0.748537,65.3987,115.614,34.0872,2574.23,2723.93
200,65536,131072,19,63.8766,0.700803,64.5774,120.389,34.6564,2574.05,2729.1
200,65536,131072,20,62.9742,0.73328,63.7075,117.356,34.7331,2625.3,2777.39
200,65536,131072,21,63.8882,0.718073,64.6063,122.418,36.1601,2616.76,2775.34
200,65536,131072,22,63.3548,0.711572,64.0663,118.765,34.9275,2610.27,2763.97
200,65536,131072,23,62.5525,0.723152,63.2756,116.493,35.062,2592.01,2743.57
200,65536,131072,24,62.4652,0.698187,63.1634,117.999,34.8126,2618.07,2770.88
200,65536,131072,25,63.1592,0.712243,63.8714,117.438,35.0645,2621.68,2774.18
200,65536,131072,26,61.9164,0.722111,62.6385,115.977,34.3077,2657.56,2807.85
200,65536,131072,27,62.1515,0.705911,62.8574,118.468,34.82,2603.1,2756.39
200,65536,131072,28,62.3103,0.719496,63.0298,121.089,35.8186,2648.41,2805.32
200,65536,131072,29,62.5371,0.701394,63.2385,119.086,36.6999,2633.64,2789.43
200,65536,131072,30,63.9652,0.732809,64.698,118.487,34.2496,2638.7,2791.43
200,65536,131072,31,65.0708,0.719276,65.7901,117.142,34.7706,2828.52,2980.43
200,65536,131072,32,63.5717,0.712048,64.2837,129.552,36.5956,2820.03,2986.17
200,65536,131072,33,64.7446,0.723638,65.4682,125.063,37.9114,2724.4,2887.38
200,65536,131072,34,63.9399,0.753711,64.6936,122.356,36.8517,2732.05,2891.25
200,65536,131072,35,63.7777,0.702932,64.4806,122.522,36.7579,2737.69,2896.97
200,65536,131072,36,63.1232,0.727886,63.8511,122.962,37.1648,2746.87,2907
200,65536,131072,37,64.8258,0.697161,65.523,121.672,36.6182,2705.07,2863.35
